"","Country","Region","Population","Under15","Over60","FertilityRate","LifeExpectancy","ChildMortality","CellularSubscribers","LiteracyRate","GNI","PrimarySchoolEnrollmentMale","PrimarySchoolEnrollmentFemale"
"2","Albania","Europe",3162,21.33,14.93,1.75,74,16.7,96.39,NA,8820,NA,NA
"4","Andorra","Europe",78,15.2,22.86,NA,82,3.2,75.49,NA,NA,78.4,79.4
"8","Armenia","Europe",2969,20.34,14.06,1.74,71,16.4,103.57,99.6,6100,NA,NA
"10","Austria","Europe",8464,14.51,23.52,1.44,81,4,154.78,NA,42050,NA,NA
"11","Azerbaijan","Europe",9309,22.25,8.24,1.96,71,35.2,108.75,NA,8960,85.3,84.1
"16","Belarus","Europe",9405,15.1,19.31,1.47,71,5.2,111.88,NA,14460,NA,NA
"17","Belgium","Europe",11060,16.88,23.81,1.85,80,4.2,116.61,NA,39190,98.9,99.2
"22","Bosnia and Herzegovina","Europe",3834,16.35,20.52,1.26,76,6.7,84.52,97.9,9190,86.5,88.4
"26","Bulgaria","Europe",7278,13.53,26.11,1.51,74,12.1,140.68,NA,14160,99.3,99.7
"43","Croatia","Europe",4307,14.98,24.69,1.48,77,4.7,116.37,98.8,18760,94.8,97
"45","Cyprus","Europe",1129,17.16,16.92,1.47,81,3.2,97.71,98.3,NA,99.1,99.5
"46","Czech Republic","Europe",10660,14.56,23.23,1.53,78,3.8,123.44,NA,24370,NA,NA
"49","Denmark","Europe",5598,17.66,23.9,1.88,79,3.7,128.47,NA,41900,94.8,96.9
"58","Estonia","Europe",1291,15.69,23.92,1.62,76,3.6,138.98,99.8,20850,97.7,97
"61","Finland","Europe",5408,16.42,25.9,1.85,81,2.9,166.02,NA,37670,97.7,97.9
"62","France","Europe",63937,18.26,23.82,1.98,82,4.1,94.79,NA,35910,99.1,99.3
"65","Georgia","Europe",4358,17.62,19.47,1.82,72,19.9,102.31,99.7,5350,NA,NA
"66","Germany","Europe",82800,13.17,26.72,1.4,81,4.1,132.3,NA,40230,NA,NA
"68","Greece","Europe",11125,14.6,25.41,1.51,81,4.8,106.48,97.2,25100,98.8,99.3
"76","Hungary","Europe",9976,14.62,23.41,1.38,75,6.2,117.3,99,20310,97.8,98.3
"77","Iceland","Europe",326,20.71,17.62,2.11,82,2.3,106.08,NA,31020,98.8,99.2
"82","Ireland","Europe",4576,21.54,16.59,2,81,4,108.41,NA,34180,99.4,100
"83","Israel","Europe",7644,27.53,15.15,2.92,82,4.2,121.66,NA,27110,97,97.8
"84","Italy","Europe",60885,14.04,26.97,1.45,82,3.8,157.93,98.9,32400,99.6,98.5
"88","Kazakhstan","Europe",16271,25.46,10.04,2.52,67,18.7,155.74,99.7,11250,NA,NA
"92","Kyrgyzstan","Europe",5474,30.21,6.34,3.03,69,26.6,116.4,NA,2180,95.5,95.1
"94","Latvia","Europe",2060,14.57,24.24,1.57,74,8.7,102.94,99.8,17700,95,96.8
"99","Lithuania","Europe",3028,15.13,20.57,1.49,74,5.4,151.3,99.7,19640,95.6,95.8
"100","Luxembourg","Europe",524,17.46,19.15,1.65,82,2.2,148.27,NA,64260,93.6,95.7
"106","Malta","Europe",428,14.98,22.87,1.37,80,6.8,124.86,NA,NA,93.3,94.3
"112","Monaco","Europe",38,18.26,23.82,NA,82,3.8,89.73,NA,NA,NA,NA
"114","Montenegro","Europe",621,19.01,18.58,1.69,76,5.9,NA,98.4,13700,NA,NA
"121","Netherlands","Europe",16714,17.21,23.02,1.76,81,4.1,NA,NA,43140,NA,NA
"127","Norway","Europe",4994,18.64,21.41,1.93,81,2.8,115.62,NA,61460,99.1,99.2
"136","Poland","Europe",38211,14.91,20.48,1.39,76,5,130.97,99.5,20430,96.9,96.7
"137","Portugal","Europe",10604,14.92,24.39,1.33,80,3.6,115.39,95.2,24440,99.1,99.7
"140","Republic of Moldova","Europe",3514,16.52,16.72,1.47,71,17.6,104.8,98.5,3640,90.1,90.1
"141","Romania","Europe",21755,15.05,20.66,1.39,74,12.2,109.16,97.7,15120,87.9,87.3
"142","Russian Federation","Europe",143000,15.45,18.6,1.51,69,10.3,179.31,99.6,20560,NA,NA
"148","San Marino","Europe",31,14.04,26.97,NA,83,3.3,111.75,NA,NA,NA,NA
