ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Area,Recommended
100346,Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,null,solid,C,1
100348,Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,null,null,print,D,1
100349,work,Average,4.7,M,Spring,v-neck,sleevless,null,null,null,null,null,A,1
100351,Novelty,Average,0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,null,A,1
100352,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,null,null,patchwork,C,1
100353,bohemian,Low,4.6,free,winter,o-neck,sleevless,empire,polyster,null,null,patchwork,A,1
100354,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,null,null,character,B,0
100355,Novelty,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,C,1
100356,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print,C,0
100359,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,null,null,solid,B,1
100362,Casual,Average,0,free,Summer,o-neck,sleevless,natural,cotton,null,lace,floral,D,0
100363,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,null,applique,patchwork,A,1
100364,Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid,A,0
100366,Casual,Average,4.1,M,Automn,v-neck,full,null,null,chiffon,sashes,null,A,1
100368,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,null,patchwork,D,0
100369,party,high,4.6,M,winter,Sweetheart,sleevless,natural,null,chiffon,null,null,C,0
100370,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,null,E,1
100371,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,C,1
100372,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,B,0
100374,Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,null,null,solid,A,1
100375,Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,null,null,print,A,0
100376,Casual,Average,4.9,M,Automn,v-neck,sleevless,null,polyster,null,null,null,C,1
100378,Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null,A,0
100379,vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,null,beading,print,B,0
100380,bohemian,Average,4.1,free,Summer,o-neck,thressqatar,null,null,null,hollowout,null,B,0
100381,Casual,high,0,L,winter,v-neck,thressqatar,natural,polyster,null,ruffles,solid,C,1
100383,Casual,Low,0,free,Spring,o-neck,short,natural,null,null,hollowout,solid,A,0
100384,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,E,0
100385,Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,null,lace,solid,E,0
100386,Casual,Average,3.5,M,winter,v-neck,short,natural,null,null,null,solid,B,0
100387,Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid,C,0
100388,Sexy,Low,0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid,B,0
100389,Sexy,Average,0,S,Automn,slash-neck,short,natural,null,null,lace,solid,B,0
100390,cute,low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,D,0
100391,Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,null,null,solid,E,1
100393,sexy,Low,4.3,M,Automn,open,short,natural,lace,null,lace,print,B,0
100395,Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid,E,0
100396,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,E,0
100397,Brief,Low,4.6,M,Summer,o-neck,short,natural,cotton,null,null,animal,B,0
100398,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped,A,0
100400,Casual,Average,4.7,M,Summer,v-neck,full,empire,cotton,null,lace,solid,B,1
100401,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,null,polyster,null,null,null,D,1
