Name in English,Number of speakers,Degree of endangerment,Latitude,Longitude
South Italian,7500000,Vulnerable,40.9798,15.249
Sicilian,5000000,Vulnerable,37.4399,14.5019
Low Saxon,4800000,Vulnerable,53.4029,10.3601
Belarusian,4000000,Vulnerable,53.956,27.5756
Lombard,3500000,Definitely endangered,45.7215,9.3273
Romani,3500000,Definitely endangered,46.3165,22.3681
Yiddish (Israel),3000000,Definitely endangered,32.0833,34.8333
Gondi,2713790,Vulnerable,19.5804,80.4418
Limburgian-Ripuarian,2600000,Vulnerable,50.7781,6.0864
Quechua of Southern Bolivia,2300000,Vulnerable,-18.0675,-65.7641
Kumaoni,2003783,Vulnerable,29.4778,79.8486
Aymara,2000000,Vulnerable,-16.5835,-68.302
Emilian-Romagnol,2000000,Definitely endangered,44.127,12.0739
Piedmontese,2000000,Definitely endangered,45.2013,7.8662
Venetan,2000000,Vulnerable,45.4601,12.1948
Zazaki,2000000,Vulnerable,38.8824,40.4846
Kurux (India),1751489,Vulnerable,22.1467,85.2758
Tamajeq,1750000,Vulnerable,17.2352,8.0859
Tulu,1722768,Vulnerable,12.0178,75.7067
Kangdi,1700000,Definitely endangered,32.4356,76.1242
Scots,1500000,Vulnerable,56.2189,-3.7683
Torlak,1500000,Vulnerable,42.9644,22.1374
West Flemish,1500000,Vulnerable,51.0275,3.0541
Bashkir,1379727,Vulnerable,54.7309,55.9863
Chechen,1331844,Vulnerable,43.1971,45.7031
Chuvash,1325382,Vulnerable,56.1394,47.2412
Meithei,1250000,Vulnerable,24.7667,93.8946
Tamang,1196639,Vulnerable,27.7365,85.6858
Quechua of Cuzco,1115000,Vulnerable,-13.4537,-72.0098
Eastern Slovak,1000000,Vulnerable,48.8068,21.7968
Ligurian,1000000,Definitely endangered,44.5748,8.7011
Rusyn,1000000,Vulnerable,48.4437,22.9394
Talysh,1000000,Vulnerable,38.814,48.6804
Kui,916222,Vulnerable,19.5908,83.9575
Khasi,912000,Vulnerable,25.691,91.8676
Bodo,900000,Vulnerable,26.7554,92.8674
Campidanese,900000,Definitely endangered,39.2991,8.9868
K'iche' (Guatemala),890596,Vulnerable,15.0309,-91.1485
Quechua of Ayacucho,850000,Definitely endangered,-13.1276,-74.2071
Newar,825458,Definitely endangered,27.6981,85.3198
Mon,800000,Vulnerable,16.4666,97.7833
Polesian,800000,Vulnerable,51.8629,23.9501
Tamaceq,800000,Definitely endangered,16.7992,-3.0102
Avar,784840,Vulnerable,42.4801,46.8017
Mundari,750000,Vulnerable,22.3297,86.0449
Welsh,750000,Vulnerable,52.4459,-3.5485
Angika,740892,Vulnerable,24.7451,85.3124
Q'eqchi' (Guatemala),716101,Vulnerable,15.4707,-90.3722
Picard,700000,Severely endangered,50.2331,2.7905
Kokborok,695000,Vulnerable,23.7752,91.6918
Basque,660000,Vulnerable,43.133,-2.0764
Kabard-Cherkes,650000,Vulnerable,43.7393,43.4289
Mandeali,611930,Definitely endangered,31.4099,76.9921
Friulian,600000,Definitely endangered,46.1037,13.1396
Quechua of Ancash and Huánuco,600000,Definitely endangered,-9.4598,-77.1789
Walloon,600000,Definitely endangered,50.4575,4.8559
Mising,550000,Definitely endangered,26.9612,94.0539
Ossete,550000,Vulnerable,42.9564,44.4946
Mizo,529000,Vulnerable,22.9988,92.9223
Dargwa,503523,Vulnerable,42.1145,47.4938
Aromanian,500000,Definitely endangered,40.2292,21.1376
Brahui,500000,Vulnerable,29.0369,66.5826
Languedocian,500000,Severely endangered,43.8899,2.5378
Lezgian,500000,Vulnerable,41.4921,48.0541
Mahasui,496024,Definitely endangered,31.2738,77.1295
Magar,489383,Definitely endangered,28.0816,83.4301
Mam (Guatemala),477717,Vulnerable,14.9305,-91.9078
Udmurt,463837,Definitely endangered,57.2315,52.8662
Huasteca Náhuatl,463183,Vulnerable,21.3835,-98.9902
Kumyk,458121,Vulnerable,43.397,46.9775
Yakut,456288,Vulnerable,62.3496,130.8691
Kaqchikel (Guatemala),444954,Vulnerable,14.7814,-90.7925
Karbi,420000,Vulnerable,26.2934,93.2299
Eastern Mari,414211,Definitely endangered,56.632,47.8784
Ingush,405343,Vulnerable,43.145,45.1043
Erzya,400000,Definitely endangered,54.1302,45.4394
Ho,400000,Vulnerable,21.637,86.4404
Judezmo (Israel),400000,Severely endangered,32.0872,34.7737
Lalo,400000,Vulnerable,25.383,99.9426
Limousin,400000,Severely endangered,46.0579,1.8017
Logudorese,400000,Definitely endangered,40.1116,9.1845
Mapuche (Chile),400000,Definitely endangered,-38.5653,-73.081
Central Náhuatl,395581,Vulnerable,19.191,-99.0236
Moselle Franconian,390000,Vulnerable,49.6071,6.1248
Bantawa,371056,Vulnerable,27.0994,87.0048
Santa,360000,Vulnerable,35.5411,102.7935
Mingrelian,350000,Definitely endangered,42.4599,41.7205
West Frisian,350000,Vulnerable,53.1006,5.6579
Gurung,338925,Definitely endangered,28.275,84.1782
Guajiro,318500,Vulnerable,11.8673,-71.9824
Karachay-Balkar,302748,Vulnerable,44.2137,42.8466
Adyge,300000,Vulnerable,44.9181,39.7485
