"DATE","VALUE"
"1948-01-01",33.85458
"1948-02-01",34.30806
"1948-03-01",34.5348
"1948-04-01",34.42143
"1948-05-01",33.96795
"1948-06-01",34.08132
"1948-07-01",34.08132
"1948-08-01",34.42143
"1948-09-01",34.30806
"1948-10-01",34.19469
"1948-11-01",34.30806
"1948-12-01",34.5348
"1949-01-01",34.87491
"1949-02-01",35.32839
"1949-03-01",35.6685
"1949-04-01",36.00861
"1949-05-01",36.91557
"1949-06-01",37.02894
"1949-07-01",37.59579
"1949-08-01",37.70916
"1949-09-01",37.48242
"1949-10-01",38.95623
"1949-11-01",37.25568
"1949-12-01",37.48242
"1950-01-01",37.36905
"1950-02-01",37.25568
"1950-03-01",37.14231
"1950-04-01",36.57546
"1950-05-01",36.23535
"1950-06-01",36.12198
"1950-07-01",35.6685
"1950-08-01",35.10165
"1950-09-01",34.98828
"1950-10-01",34.76154
"1950-11-01",34.76154
"1950-12-01",34.87491
"1951-01-01",34.19469
"1951-02-01",33.85458
"1951-03-01",33.85458
"1951-04-01",33.51447
"1951-05-01",33.4011
"1951-06-01",33.62784
"1951-07-01",33.51447
"1951-08-01",33.51447
"1951-09-01",33.74121
"1951-10-01",33.96795
"1951-11-01",33.96795
"1951-12-01",33.51447
"1952-01-01",33.62784
"1952-02-01",33.51447
"1952-03-01",33.28773
"1952-04-01",33.28773
"1952-05-01",33.4011
"1952-06-01",33.4011
"1952-07-01",33.62784
"1952-08-01",33.85458
"1952-09-01",33.51447
"1952-10-01",33.4011
"1952-11-01",33.17436
"1952-12-01",33.06099
"1953-01-01",33.28773
"1953-02-01",32.94762
"1953-03-01",32.94762
"1953-04-01",33.06099
"1953-05-01",32.83425
"1953-06-01",32.83425
"1953-07-01",32.94762
"1953-08-01",33.06099
"1953-09-01",33.28773
"1953-10-01",33.51447
"1953-11-01",33.96795
"1953-12-01",35.10165
"1954-01-01",35.55513
"1954-02-01",35.89524
"1954-03-01",36.46209
"1954-04-01",36.68883
"1954-05-01",36.68883
"1954-06-01",36.34872
"1954-07-01",36.57546
"1954-08-01",36.8022
"1954-09-01",36.91557
"1954-10-01",36.46209
"1954-11-01",36.00861
"1954-12-01",35.6685
"1955-01-01",35.55513
"1955-02-01",35.32839
"1955-03-01",35.21502
"1955-04-01",35.32839
"1955-05-01",34.87491
