Year,State/Country, Unemployment Rate (Percentage) 
1982,Malaysia,3.4
1983,Malaysia,3.8
1984,Malaysia,5
1985,Malaysia,5.6
1986,Malaysia,7.4
1987,Malaysia,7.3
1988,Malaysia,7.2
1989,Malaysia,5.7
1990,Malaysia,4.5
1992,Malaysia,3.7
1993,Malaysia,4.1
1995,Malaysia,3.1
1996,Malaysia,2.5
1997,Malaysia,2.4
1998,Malaysia,3.2
1999,Malaysia,3.4
2000,Malaysia,3
2001,Malaysia,3.5
2002,Malaysia,3.5
2003,Malaysia,3.6
2004,Malaysia,3.5
2005,Malaysia,3.5
2006,Malaysia,3.3
2007,Malaysia,3.2
2008,Malaysia,3.3
2009,Malaysia,3.7
2010,Malaysia,3.3
2011,Malaysia,3.1
2012,Malaysia,3
2013,Malaysia,3.1
2014,Malaysia,2.9
2015,Malaysia,3.1
1982,Johor,3.5
1983,Johor,4.2
1984,Johor,4.5
1985,Johor,5.3
1986,Johor,6.8
1987,Johor,6.3
1988,Johor,5.4
1989,Johor,4.6
1990,Johor,3.7
1992,Johor,2.2
1993,Johor,2.9
1995,Johor,2.6
1996,Johor,2.1
1997,Johor,1.7
1998,Johor,1.7
1999,Johor,3
2000,Johor,2.2
2001,Johor,3.4
2002,Johor,2.9
2003,Johor,3.5
2004,Johor,3.6
2005,Johor,3.3
2006,Johor,2.1
2007,Johor,2
2008,Johor,2.2
2009,Johor,3.2
2010,Johor,2.4
2011,Johor,2.5
2012,Johor,3.1
2013,Johor,2.8
2014,Johor,2.6
2015,Johor,3.1
1982,Kedah,3.7
1983,Kedah,3.8
1984,Kedah,5.6
1985,Kedah,7.1
1986,Kedah,8.1
1987,Kedah,8
1988,Kedah,7.4
1989,Kedah,5.7
1990,Kedah,4.4
1992,Kedah,3.7
1993,Kedah,3.6
1995,Kedah,2
1996,Kedah,2.5
1997,Kedah,2.5
1998,Kedah,3.4
1999,Kedah,3.2
2000,Kedah,2.9
2001,Kedah,3.6
2002,Kedah,3.2
2003,Kedah,3.3
2004,Kedah,3.8
2005,Kedah,3.7
2006,Kedah,3.8
2007,Kedah,3.3
2008,Kedah,3.8
2009,Kedah,4.2
2010,Kedah,2.8
2011,Kedah,3.5
2012,Kedah,2.9
2013,Kedah,2.4
2014,Kedah,2.7
2015,Kedah,2.6
1982,Kelantan,4.8
1983,Kelantan,6.2
1984,Kelantan,5.5
1985,Kelantan,6
1986,Kelantan,6.8
1987,Kelantan,6.5
1988,Kelantan,7.7
1989,Kelantan,6.3
1990,Kelantan,3.4
1992,Kelantan,5.3
1993,Kelantan,4.7
1995,Kelantan,3.5
1996,Kelantan,3.3
1997,Kelantan,3.6
1998,Kelantan,4.1
1999,Kelantan,3.2
2000,Kelantan,2.6
2001,Kelantan,3.1
2002,Kelantan,3.9
2003,Kelantan,3.2
2004,Kelantan,4.1
2005,Kelantan,3.4
2006,Kelantan,2.4
2007,Kelantan,2.7
