S.No.,NameIndianParty,NameJV/WOS,IfJV/WOS,OversCountry,MajorActivity,Equity,Loan,GurIssu,Total
1,AA INFRAPROPERTIES PVT LTD,INDOCEAN DEVELOPERS PVT LTD.,WOS,SRI LANKA,CONSTRUCTION,0,0,9.95,9.95
2,AAHANA INNOVATIONS,ROYAL KIDS KINGDOM LLC,JV,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.0191,0,0,0.0191
3,AAYANA MARBLES PRIVATE LIMITED,AAYANA MINERALS FZE,WOS,UNITED ARAB EMIRATES,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.25,0,0.25
4,ABAN OFFSHORE LTD,ABAN HOLDINGS P LTD,WOS,SINGAPORE,AGRICULTURE AND MINING,0,0,2.914,2.914
5,ABELLON CLEANENERGY LIMITED,ABELLON CLEANENERGY GHANA LIMITED,WOS,GHANA,"ELECTRICITY, GAS AND WATER",0.1674,0,0,0.1674
6,ABG SHIPYARD LTD,ABG SHIPYARD SINGAPORE PTE. LTD.,WOS,SINGAPORE,MANUFACTURING,0,0,0,0
7,ACCUTEST RESEARCH LABORATORIES INDIA PRIVATE LIMITED,ACCUTEST RESEARCH LABORTORIES NETHERLANDS B.V.,WOS,NETHERLANDS,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.0949,0,0,0.0949
8,ACME SOLAR HOLDINGS PRIVATE LIMITED,ACME CLEANTECH SOLUTIONS PRIVATE LIMITED,WOS,SINGAPORE,"ELECTRICITY, GAS AND WATER",0.0075,0,0,0.0075
9,ACRYCOL MINERALS LIMITED,ACRYCOL SINGAPORE PTE LTD,WOS,SINGAPORE,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.3098,0,0,0.3098
10,ACRYSIL LIMITED,ACRYSIL UK LIMITED,WOS,UNITED KINGDOM,"WHOLSALE, RETAIL TRADE, RESTAURANTS AND HOTELS",0,0.3098,0,0.3098
11,ACULIFE HEALTHCARE PRIVATE LIMITED,AURANTIS INDUSTRIA FARMACEUTICA LTDA,JV,BRAZIL,MANUFACTURING,0,0.05,0,0.05
12,AD2PRO MEDIA SOLUTIONS P LTD,TECHLUXE LTD,WOS,UNITED KINGDOM,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0,0.1549,0.1549
13,ADANI  WELSPUN  EXPLORATION  LIMITED ,AWEL GLOBAL LIMITED,WOS,UNITED ARAB EMIRATES,AGRICULTURE AND MINING,0,0.0027,0,0.0027
14,ADFACTORS PR INDIA LTD,ADFACTORS PR PTE LTD,WOS,SINGAPORE,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0.035,0,0,0.035
15,ADP PACKAGING PVT LTD,ADP FLEXIPACK MANUFACTURING PLC,JV,ETHIOPIA,MANUFACTURING,0.2,0,0,0.2
16,AERO CLUB,WOODLAND CIS RUSSIA,WOS,RUSSIA,MANUFACTURING,0.075,0,0,0.075
17,AFCONS INFRASTRUCTURE LTD,AFCONS CONSTRUCTION MIDDLE EAST LLC,JV,UNITED ARAB EMIRATES,CONSTRUCTION,0,0.0784,0,0.0784
18,AFRICA VIEW LIMITED,AFRICA VIEW FZE,WOS,UNITED ARAB EMIRATES,MANUFACTURING,0,0.012,0,0.012
19,AKAY FLAVOURS & AROMATICS PVT LTD,AKAY FLAVOURS & AROMATICS (COMBODIA) PVT LTD,WOS,CAMBODIA,MANUFACTURING,0.25,0,0,0.25
20,AKSH OPTIFIBRE LIMITED,AOL FZE,WOS,UNITED ARAB EMIRATES,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0,0.1,0,0.1
21,ALGOWORKS TECHNOLOGIES PRIVATE LIMITED,"ALGOWORKS SOLUTIONS, INC.",WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.1,0,0,0.1
22,ALIVIRA ANIMAL HEALTH LTD,ALIVIRA ANIMAL HEALTH LTD,WOS,IRELAND,MANUFACTURING,0,0.8,0,0.8
23,ALKEM LABORATORIES LIMITED,ASCEND LABORATORIES SPA,WOS,CHILE,MANUFACTURING,0,0,4,4
24,ALL WAYS LOGISTICS INDIA PVT LTD,CARGOSAVVY PTE LTD,JV,SINGAPORE,"TRANSPORT, STORAGE AND COMMUNICATION SERVICES",0.036,0,0,0.036
25,ALOK INDUSTRIES LTD,ALOK INTERNATIONAL INC,WOS,UNITED STATES OF AMERICA,MANUFACTURING,0,1.8,0,1.8
26,ALTUS LEARNING PRIVATE LIMITED,CALORX INTERNATIONAL FZC,WOS,UNITED ARAB EMIRATES,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0.0997,0,0.0997
27,AMEYA COMMERCIAL PROJECTS PRIVATE LIMITED,AMEYA HOLDINGS INC,WOS,UNITED STATES OF AMERICA,"FINANCIAL,INSURANCE AND BUSINESS SERVICES",0.15,0,0,0.15
28,AMISHA FINCAP PVT LTD,UNIQUE MOLDING (MAURITIUS) LTD,WOS,MAURITIUS,AGRICULTURE AND MINING,0.015,0,0,0.015
29,ANIKET KAWADE,GRAND SHOWBIZ MEDIA AND ENTERTAINMENT LTD,JV,UNITED KINGDOM,"COMMUNITY, SOCIAL AND PERSONAL SERVICES",0,0,0,0
30,ANISH VINOD AGRAWAL,PHOENIX INDUSTRIES PRIVATE LIMITED COMPANY,JV,ETHIOPIA,MANUFACTURING,0.014,0,0,0.014
