Year,NumOfEstate,PlantedAreaInHect,TappedAreaInHect,ProductionInTonne,YieldPerHectInKg,AvgPriceSenPerKg,TotPaidEmployee
1965,2216.00,788.50,542.30,507.90,937.00,,262
1966,2232.00,770.00,536.80,531.20,990.00,,258
1967,2249.00,744.80,535.10,543.50,1016.00,,235
1968,2246.00,715.10,533.30,581.80,1090.00,,209
1969,2219.00,695.60,539.20,612.20,1136.00,,213
1970,2180.00,677.00,537.90,631.30,1174.00,,205
1971,2129.00,659.20,528.30,672.10,1273.00,,205
1972,2072.00,638.00,511.90,670.00,1311.00,,198
1973,2011.00,612.30,500.50,684.60,1362.00,158.01,194
1974,1961.00,596.60,428.90,666.30,1380.00,159.98,192
1975,1911.00,583.40,463.60,587.20,1267.00,131.61,186
1976,1893.00,573.10,453.40,657.80,1451.00,189.77,181
1977,1861.00,558.50,445.40,633.60,1422.00,195.77,176
1978,1839.00,541.50,434.90,624.80,1434.00,215.63,170
1979,1807.00,525.60,427.30,611.70,1432.00,263.83,167
1980,1767.00,506.10,415.70,591.50,1427.00,273.73,160
1981,1738.00,493.30,406.00,578.50,1425.00,219.94,153
1982,1704.00,481.90,395.90,562.20,1420.00,175.46,141
1983,1676.00,477.50,385.90,547.50,1419.00,218.72,138
1984,1612.00,454.80,373.60,518.10,1387.00,209.18,131
1985,1592.00,428.80,356.60,504.30,1414.00,173.54,124
1986,1519.00,399.40,333.50,497.50,1492.00,191.30,119
1987,1481.00,381.50,327.70,490.60,1497.00,224.31,115
1988,1448.00,371.10,324.80,481.10,1481.00,277.86,113
1989,1414.00,361.00,315.70,432.80,1371.00,226.81,108
1990,1367.00,348.70,298.40,396.60,1329.00,204.64,102
1991,1293.00,333.40,273.70,366.20,1338.00,213.07,90
1992,1189.00,314.10,250.00,333.00,1332.00,208.68,79
1993,1133.00,292.50,229.20,296.30,1293.00,202.85,68
1994,1075.00,275.00,191.50,271.30,1417.00,293.75,59
1995,1048.00,255.70,186.50,240.70,1291.00,382.60,56
1996,853.00,223.90,182.80,237.90,1301.00,329.55,50
1997,735.00,200.70,169.60,215.90,1273.00,271.83,44
1998,699.00,179.90,147.90,196.70,1330.00,259.00,41
1999,621.00,151.20,126.50,183.10,1447.00,226.94,35
2000,559.00,123.80,98.30,126.70,1289.00,242.52,26
2001,391.00,95.50,73.70,99.50,1358.00,205.56,19
2002,364.00,84.80,61.60,85.00,1.38,285.98,16
2003,360.00,78.50,56.80,76.40,1343.00,378.97,15
2004,262.00,64.40,50.40,71.20,1410.00,461.93,13
2005,229.00,58.70,47.30,65.30,1381.00,523.07,12
2006,213.00,54.20,44.90,68.40,1525.00,710.92,12
2007,197.00,53.70,43.70,65.50,1497.00,734.06,12
2008,196.00,50.90,42.10,59.60,1414.00,831.37,11
2009,185.00,49.70,40.50,56.80,1401.00,637.36,10
2010,188.00,49.90,40.60,56.30,1388.00,1058.08,10
2011,188.00,49.90,38.50,53.00,1378.00,1348.33,11
2012,172.00,65.90,41.60,58.80,1412.00,952.50,13
2013,173.00,77.40,41.20,57.40,1393.00,774.70,12
2014,184.00,80.10,39.30,55.80,1420.00,553.10,12
