ID,Office_PIN,Application_Receipt_Date,Applicant_City_PIN,Applicant_Gender,Applicant_BirthDate,Applicant_Marital_Status,Applicant_Occupation,Applicant_Qualification,Manager_DOJ,Manager_Joining_Designation,Manager_Current_Designation,Manager_Grade,Manager_Status,Manager_Gender,Manager_DoB,Manager_Num_Application,Manager_Num_Coded,Manager_Business,Manager_Num_Products,Manager_Business2,Manager_Num_Products2,Business_Sourced
FIN1000001,842001,4/16/2007,844120,M,12/19/1971,M,Others,Graduate,11/10/2005,Level 1,Level 2,3,Confirmation,M,2/17/1978,2,1,335249,28,335249,28,0
FIN1000002,842001,4/16/2007,844111,M,2/17/1983,S,Others,Class XII,11/10/2005,Level 1,Level 2,3,Confirmation,M,2/17/1978,2,1,335249,28,335249,28,1
FIN1000003,800001,4/16/2007,844101,M,1/16/1966,M,Business,Class XII,5/27/2006,Level 1,Level 1,2,Confirmation,M,3/3/1969,0,0,357184,24,357184,24,0
FIN1000004,814112,4/16/2007,814112,M,2/3/1988,S,Salaried,Class XII,8/21/2003,Level 1,Level 3,4,Confirmation,F,8/14/1978,0,0,318356,22,318356,22,0
FIN1000005,814112,4/16/2007,815351,M,7/4/1985,M,Others,Class XII,5/8/2006,Level 1,Level 1,2,Confirmation,M,2/7/1971,2,1,230402,17,230402,17,0
FIN1000006,814112,4/16/2007,814114,M,3/23/1988,S,Others,Class XII,1/17/2006,Level 1,Level 1,2,Confirmation,M,2/20/1979,0,0,247118,24,247118,24,1
FIN1000007,842001,4/16/2007,844118,M,2/5/1969,M,Business,Class XII,9/1/2003,Level 1,Level 1,2,Confirmation,M,5/28/1969,0,0,315119,27,315119,27,1
FIN1000008,800001,4/16/2007,844103,M,1/28/1984,M,Salaried,Class XII,12/16/2006,Level 1,Level 1,2,Confirmation,M,1/7/1976,5,4,117358,9,117358,9,0
FIN1000009,209625,4/16/2007,206451,M,1/8/1976,M,Business,Graduate,11/18/2004,Level 1,Level 2,3,Confirmation,M,3/7/1966,0,0,244028,17,244028,17,1
FIN1000010,211001,4/16/2007,212218,M,2/3/1982,M,Others,Class XII,8/15/2002,Level 1,Level 3,4,Confirmation,M,11/14/1974,0,0,851557,39,851557,39,1
FIN1000011,520010,4/16/2007,520007,M,4/21/1977,M,Salaried,Class XII,9/16/2004,Level 1,Level 2,3,Confirmation,M,4/28/1963,0,0,148789,10,148789,10,1
FIN1000012,533101,4/16/2007,534222,F,11/28/1988,S,Business,Class XII,6/19/2006,Level 1,Level 2,3,Confirmation,M,7/3/1953,2,3,233726,14,233726,14,1
FIN1000013,274001,4/16/2007,274001,M,11/15/1981,S,Business,Class XII,4/30/2004,Level 1,Level 3,4,Confirmation,M,7/8/1981,0,0,218901,13,218901,13,1
FIN1000014,202001,4/16/2007,202002,M,7/27/1981,S,Business,Graduate,1/8/2004,Level 1,Level 1,2,Confirmation,M,7/2/1968,0,0,395742,19,395742,19,0
FIN1000015,284001,4/16/2007,284403,M,9/7/1981,M,Others,Class X,6/20/2006,Level 1,Level 2,3,Confirmation,M,10/28/1961,1,2,173087,10,173087,10,1
FIN1000016,520010,4/16/2007,521101,M,7/17/1982,S,Others,Class XII,3/1/2005,Level 1,Level 1,2,Confirmation,M,6/7/1971,0,0,88414,7,88414,7,1
FIN1000017,834001,4/16/2007,834001,M,5/12/1985,S,Salaried,Class XII,11/18/2002,Level 1,Level 2,3,Confirmation,M,9/19/1973,1,2,341667,14,341667,14,1
FIN1000018,474008,4/16/2007,475005,F,9/13/1982,S,Business,Class XII,10/13/2006,Level 2,Level 3,4,Confirmation,M,10/9/1973,0,2,1359705,24,1359705,24,1
FIN1000019,121002,4/16/2007,121002,F,11/11/1980,M,Others,Graduate,7/21/2006,Level 1,Level 1,2,Confirmation,F,4/3/1984,5,3,241031,20,241031,20,1
FIN1000020,492001,4/16/2007,492001,M,5/2/1984,M,Salaried,Graduate,11/3/2006,Level 2,Level 2,3,Confirmation,M,7/3/1979,3,1,262207,7,262207,7,0
FIN1000021,452003,4/16/2007,452010,M,10/10/1988,S,Business,Class XII,2/21/2007,Level 1,Level 1,2,Confirmation,M,8/23/1974,1,0,11642,1,11642,1,0
FIN1000022,834001,4/16/2007,835227,M,11/14/1986,S,Others,Graduate,1/30/2004,Level 1,Level 2,3,Confirmation,M,1/16/1955,0,0,177816,7,177816,7,0
FIN1000023,802301,4/16/2007,802157,M,5/11/1986,S,Business,Class XII,10/30/2003,Level 1,Level 3,4,Confirmation,M,4/5/1955,0,0,409995,30,409995,30,1
FIN1000024,211001,4/16/2007,211008,M,6/21/1964,M,Business,Graduate,6/27/2006,Level 1,Level 2,3,Confirmation,M,10/3/1955,0,0,161931,13,161931,13,1
FIN1000025,209625,4/16/2007,205262,M,7/13/1982,S,Business,Class XII,,,,,,,,,,,,,,1
FIN1000026,492001,4/16/2007,495001,M,2/21/1980,M,Salaried,Class XII,10/5/2006,Level 2,Level 2,3,Confirmation,M,5/27/1980,0,0,200561,15,200561,15,0
FIN1000027,282001,4/16/2007,282001,M,1/18/1982,S,Salaried,Graduate,5/29/2003,Level 2,Level 2,3,Confirmation,M,8/17/1965,0,0,288365,15,288365,15,0
FIN1000028,751009,4/16/2007,759107,M,10/18/1983,M,Business,Graduate,3/6/2006,Level 2,Level 2,3,Confirmation,M,5/13/1959,0,1,367582,15,367582,15,1
FIN1000029,800001,4/16/2007,844119,M,12/6/1983,M,Business,Class XII,5/26/2006,Level 1,Level 1,2,Confirmation,M,10/14/1971,0,0,246602,18,246602,18,1
FIN1000030,282001,4/16/2007,283125,M,1/2/1973,S,Salaried,Graduate,5/25/2006,Level 1,Level 1,2,Confirmation,M,3/4/1981,2,2,259059,16,259059,16,1
FIN1000031,781005,4/16/2007,781037,M,12/29/1961,M,Business,Class XII,6/8/2006,Level 1,Level 2,3,Confirmation,M,1/3/1975,3,1,310459,23,310459,23,1
FIN1000032,520010,4/16/2007,520010,M,1/30/1983,S,Salaried,Class XII,5/12/2006,Level 2,Level 2,3,Confirmation,M,12/11/1982,0,0,81786,7,81786,7,1
FIN1000033,444601,4/16/2007,444601,F,6/30/1977,M,Others,Class XII,7/22/2002,Level 2,Level 4,5,Confirmation,F,7/5/1967,0,0,411405,21,411405,21,1
FIN1000034,274001,4/16/2007,274001,M,7/17/1985,M,Others,Class XII,10/15/2005,Level 1,Level 1,2,Confirmation,M,9/3/1971,0,0,110926,11,110926,11,1
FIN1000035,851101,4/16/2007,851120,M,5/4/1970,M,Business,Graduate,,,,,,,,,,,,,,1
FIN1000036,560001,4/16/2007,561101,M,7/14/1975,S,Salaried,Graduate,4/12/2007,Level 2,Level 4,5,Probation,M,6/15/1975,0,0,0,0,0,0,1
FIN1000037,282001,4/16/2007,282007,F,1/4/1938,S,Others,Class XII,2/16/2005,Level 2,Level 3,4,Confirmation,M,1/24/1976,0,0,286702,19,286702,19,1
FIN1000038,803101,4/16/2007,801301,F,2/15/1989,S,Salaried,Class X,1/17/2005,Level 1,Level 3,4,Confirmation,M,6/3/1957,1,1,295775,19,295775,19,1
FIN1000039,803101,4/16/2007,803107,M,12/26/1987,S,Others,Class XII,7/31/2006,Level 1,Level 1,2,Confirmation,M,1/7/1976,2,0,194597,15,194597,15,0
FIN1000040,201010,4/16/2007,201301,M,12/11/1979,M,Business,Class XII,5/8/2006,Level 2,Level 2,3,Confirmation,M,4/23/1972,3,2,347412,18,347412,18,1
FIN1000041,841428,4/16/2007,841440,M,9/15/1984,S,Others,Graduate,12/20/2004,Level 1,Level 3,4,Confirmation,M,7/8/1978,0,1,853436,51,853436,51,0
FIN1000042,284001,4/16/2007,284203,F,11/10/1988,S,Others,Class X,5/8/2006,Level 1,Level 2,3,Confirmation,M,8/23/1967,1,1,171830,16,171830,16,0
FIN1000043,803101,4/16/2007,803101,M,3/7/1981,S,Others,Class XII,12/29/2005,Level 1,Level 2,3,Confirmation,M,2/11/1961,0,0,1158533,74,1158533,74,1
FIN1000044,803101,4/16/2007,805130,M,8/26/1972,M,Salaried,Class XII,5/31/2006,Level 1,Level 1,2,Confirmation,M,1/8/1983,0,0,290235,18,290235,18,0
FIN1000045,201010,4/16/2007,110062,M,4/4/1975,M,Salaried,Graduate,5/12/2006,Level 2,Level 2,3,Confirmation,M,1/11/1966,2,2,259713,14,259713,14,0
FIN1000046,201010,4/16/2007,201307,M,1/3/1979,S,Business,Graduate,5/8/2006,Level 2,Level 2,3,Confirmation,M,4/23/1972,3,2,347412,18,347412,18,0
FIN1000047,124001,4/16/2007,124001,M,1/4/1974,M,Business,Class XII,2/16/2006,Level 2,Level 2,3,Confirmation,M,1/7/1980,0,1,127324,9,127324,9,0
FIN1000048,274001,4/16/2007,274204,M,8/26/1986,S,Business,Class XII,10/23/2006,Level 1,Level 1,2,Confirmation,M,11/3/1979,2,1,189374,12,189374,12,0
FIN1000049,201010,4/16/2007,201204,M,5/9/1978,S,Others,Graduate,10/25/2005,Level 2,Level 2,3,Confirmation,M,8/27/1979,2,0,147062,11,147062,11,0
FIN1000050,533101,4/16/2007,534218,M,4/17/1977,M,Business,Class XII,6/19/2006,Level 1,Level 2,3,Confirmation,M,7/3/1953,2,3,233726,14,233726,14,0
FIN1000051,826001,4/16/2007,828116,F,11/10/1987,S,Business,Class XII,6/13/2006,Level 2,Level 2,3,Confirmation,M,6/5/1963,0,1,74915,7,74915,7,0
FIN1000052,803101,4/16/2007,803111,M,4/5/1970,M,Others,Class XII,12/29/2005,Level 1,Level 2,3,Confirmation,M,2/11/1961,0,0,1158533,74,1158533,74,0
FIN1000053,803101,4/16/2007,803116,F,2/22/1974,M,Business,Class XII,5/31/2006,Level 1,Level 1,2,Confirmation,M,1/8/1983,0,0,290235,18,290235,18,0
FIN1000054,803101,4/16/2007,803111,M,1/14/1988,S,Others,Class X,,,,,,,,,,,,,,0
FIN1000055,803101,4/16/2007,803111,M,1/3/1978,S,Salaried,Class XII,,,,,,,,,,,,,,0
FIN1000056,211001,4/16/2007,211019,M,1/2/1987,S,Salaried,Class XII,8/21/2006,Level 1,Level 1,2,Confirmation,M,7/8/1977,0,0,147461,12,147461,12,0
FIN1000057,211001,4/16/2007,212507,M,6/6/1982,M,Business,Class XII,5/27/2006,Level 1,Level 1,2,Confirmation,M,12/10/1970,0,1,215479,15,215479,15,0
FIN1000058,211001,4/16/2007,212218,M,8/4/1975,M,Salaried,Class XII,8/15/2002,Level 1,Level 3,4,Confirmation,M,11/14/1974,0,0,851557,39,851557,39,0
