Year,Total Number of Paid Employee During the Last Pay Period (Estate)
1965,262.1
1966,258.4
1967,235.4
1968,209.8
1969,212.7
1970,205.4
1971,205.2
1972,197.7
1973,193.5
1974,191.5
1975,185.5
1976,181.2
1977,175.6
1978,169.7
1979,167.1
1980,160.4
1981,153.0
1982,140.8
1983,137.7
1984,130.8
1985,124.0
1986,119.4
1987,114.9
1988,113.3
1989,108.3
1990,101.7
1991,89.6
1992,79.1
1993,68.2
1994,58.9
1995,55.5
1996,49.9
1997,43.6
1998,40.7
1999,35.3
2000,25.8
2001,18.9
2002,16.1
2003,14.6
2004,13.4
2005,11.8
2006,11.9
2007,11.6
2008,11.1
2009,10.4
2010,10.2
2011,10.9
2012,12.5
2013,12.0
2014,12.4
 
