Year,Production (Estate) ('000) Tonne
1965,507.9
1966,531.2
1967,543.5
1968,581.8
1969,612.2
1970,631.3
1971,672.1
1972,670.0
1973,684.6
1974,666.3
1975,587.2
1976,657.8
1977,633.6
1978,624.8
1979,611.7
1980,591.5
1981,578.5
1982,562.2
1983,547.5
1984,518.1
1985,504.3
1986,497.5
1987,490.6
1988,481.1
1989,432.8
1990,396.6
1991,366.2
1992,333.0
1993,296.3
1994,271.3
1995,240.7
1996,237.9
1997,215.9
1998,196.7
1999,183.1
2000,126.7
2001,99.5
2002,85.0
2003,76.4
2004,71.2
2005,65.3
2006,68.4
2007,65.5
2008,59.6
2009,56.8
2010,56.3
2011,53.0
2012,58.8
2013,57.4
2014,55.8
 
